"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Heshmati, J.; Bates, E.L.; Shahen, S.; Walker, K.L.; Pipe, A.; Mullen, K.-A.; Mir, H.","Heshmati, Javad (54781378400); Bates, Emma Lynn (59702564600); Shahen, Spencer (59703936200); Walker, Kathryn L. (59702564700); Pipe, Andrew L. (7004462835); Mullen, Kerri Anne (35748987300); Mir, Hassan (57191440291)","54781378400; 59702564600; 59703936200; 59702564700; 7004462835; 35748987300; 57191440291","Patterns of E-Cigarette Use Among Cardiac Inpatients at a Tertiary-Care Hospital: A Cross-Sectional Survey","2025","CJC Open","7","8","","1083","1092","0","10.1016/j.cjco.2025.02.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000620150&doi=10.1016%2Fj.cjco.2025.02.004&partnerID=40&md5=2964090d8868616b22d60b25ef474f24","Elsevier Inc.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105000620150"
"Kang, D.; Choi, K.H.; Kim, H.; Park, H.; Heo, J.; Park, T.K.; Lee, J.M.; Cho, J.; Yang, J.H.; Hahn, J.-Y.; Choi, S.-H.; Gwon, H.-C.; Song, Y.B.","Kang, Danbee (56076180500); Choi, Ki-hong (55756735500); Kim, Hyun-soo (57191717678); Park, Hyejeong (57201025391); Heo, Jihye (58994917600); Park, Taek-kyu (55750570800); Lee, Joo-myung (54894745500); Cho, Juhee (14625911800); Yang, Jeong-hoon (45662209400); Hahn, Joo-yong (12771661800); Choi, Seung-hyuk (57213560615); Gwon, Hyeon Cheol (6603262426); Song, Young-bin (15763569500)","56076180500; 55756735500; 57191717678; 57201025391; 58994917600; 55750570800; 54894745500; 14625911800; 45662209400; 12771661800; 57213560615; 6603262426; 15763569500","Prognosis after switching to electronic cigarettes following percutaneous coronary intervention: a Korean nationwide study","2025","European Heart Journal","46","1","","84","95","13","10.1093/eurheartj/ehae705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210249140&doi=10.1093%2Feurheartj%2Fehae705&partnerID=40&md5=6c502e5669ce8008cc90907b1a4ee971","Oxford University Press","Article","Final","","Scopus","2-s2.0-85210249140"
"Yacoub, M.I.; Aslanoglu, A.; Khraim, F.; Alsharawneh, A.; Abdelkader, R.; Almagharbeh, W.T.; Alhejaili, A.A.; Alshahrani, B.D.; Sobeh, D.E.; Eltayeb, M.M.; Elshatarat, R.A.; Saleh, Z.T.","Yacoub, Mohammed Ibrahim (36663127800); Aslanoglu, Aziz (59349621800); Khraim, Fadi M. (16425690100); Alsharawneh, Anas (57216489259); Abdelkader, Raghad Hussein (45461039100); Almagharbeh, Wesam Taher (57226501794); Alhejaili, Asim Abdullah (57901443900); Alshahrani, Bassam Dhafer (57222190222); Sobeh, Dena Eltabey Sobh (58208679500); Eltayeb, Mudathir Mohamedahmed (58088759400); Elshatarat, Rami Azmi (55539210400); Saleh, Zyad Taher (56736078200)","36663127800; 59349621800; 16425690100; 57216489259; 45461039100; 57226501794; 57901443900; 57222190222; 58208679500; 58088759400; 55539210400; 56736078200","Comparing E-Cigarettes and Traditional Cigarettes in Relation to Myocardial Infarction, Arrhythmias, and Sudden Cardiac Death: A Systematic Review and Meta-Analysis","2025","Biological Research for Nursing","27","1","","168","185","13","10.1177/10998004241287782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205352842&doi=10.1177%2F10998004241287782&partnerID=40&md5=87251397911bb19d188048a2a96836e6","SAGE Publications Inc.","Review","Final","","Scopus","2-s2.0-85205352842"
"Ahuja, G.; Gajdhar, S.K.; Shammas, M.; Navin Kumar, D.; Karande, V.; Jose, A.T.; Kashwani, R.; Kumari, A.","Ahuja, Gurmeet (59932189700); Gajdhar, Sajda Khan (60162548600); Shammas, Mohammed (57223890738); Navin Kumar, D. (59931887500); Karande, Vikram (57203567414); Jose, Ajimol Theresa (59932189800); Kashwani, Ritik (58808833100); Kumari, Anukriti (59931426400)","59932189700; 60162548600; 57223890738; 59931887500; 57203567414; 59932189800; 58808833100; 59931426400","PERCEPTION OF SAFETY: A SURVEY ON THE RISKS OF VAPING, HOOKAH, AND CIGARETTE CONSUMPTION","2025","Bulletin of Stomatology and Maxillofacial Surgery","21","4","","217","226","0","10.58240/1829006X-2025.4-217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007451676&doi=10.58240%2F1829006X-2025.4-217&partnerID=40&md5=aba68c08528136fdeaffcbcf1504d19d","ASTRA SCIENCE","Article","Final","","Scopus","2-s2.0-105007451676"
"Zhurba, O.O.; Lazoryshynets, V.V.; Rudenko, A.V.; Rudenko, K.V.","Zhurba, Oleg O. (59309877800); Lazoryshynets, Vasil Vasylovych (57212215088); Rudenko, A. V. (35802360900); Rudenko, Kostiantyn V. (56461091600)","59309877800; 57212215088; 35802360900; 56461091600","Analysis of the prevalence of tobacco smoking in different age groups of patients with ischemic heart disease taking gender into account","2024","Pathologia","21","3","","187","192","0","10.14739/2310-1237.2024.3.311365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007950787&doi=10.14739%2F2310-1237.2024.3.311365&partnerID=40&md5=c252b5bad3bb6fa30ea97a417e677e7d","Zaporizhzhia State Medical and Pharmaceutical University","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105007950787"
"Hampsher-Monk, S.C.; Prieger, J.E.; Patwardhan, S.","Hampsher-Monk, Samuel C. (59358978100); Prieger, James E. (6603124121); Patwardhan, Sudhanshu Ramesh (34168214800)","59358978100; 6603124121; 34168214800","Tobacco Regulation, Economics, and Public Health, Volume II: Clearing the Air on E-Cigarettes and Harm Reduction","2024","","","","","1","306","2","10.1007/978-3-031-47087-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206128595&doi=10.1007%2F978-3-031-47087-5&partnerID=40&md5=6256cb748c8fc6e8120e24983d86cfb0","Springer Nature","Book","Final","","Scopus","2-s2.0-85206128595"
"Rezvani Ghalhari, M.; Dehghani, M.H.; Bashardoust, P.; Nayeri, D.; Zarezadeh, E.","Rezvani Ghalhari, Mohammad (57211559096); Dehghani, Mohammad Hadi (57192214256); Bashardoust, Parnia (57218223305); Nayeri, Danial (58068460400); Zarezadeh, Elnaz (57218279860)","57211559096; 57192214256; 57218223305; 58068460400; 57218279860","A comprehensive review of the relationship between air pollution and cardiovascular disease","2024","","3","","","233","255","0","10.1016/B978-0-443-16080-6.00001-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199018282&doi=10.1016%2FB978-0-443-16080-6.00001-X&partnerID=40&md5=5d08ed27033fe788706d91b88a8a3536","Elsevier","Book chapter","Final","","Scopus","2-s2.0-85199018282"
"Garey, L.; Smit, T.; Bizier, A.; Redmond, B.Y.; Ditre, J.W.; Rogers, A.H.; Bakhshaie, J.; Nizio, P.; Zvolensky, M.J.","Garey, Lorra (44361005900); Smit, Tanya (57203318308); Bizier, Andre (58074341500); Redmond, Brooke Y. (58045390700); Ditre, Joseph W. (8643707300); Rogers, Andrew H. (57193794434); Bakhshaie, Jafar (54960994000); Nizio, Pamella (57207269194); Zvolensky, Michael J. (57210784318)","44361005900; 57203318308; 58074341500; 58045390700; 8643707300; 57193794434; 54960994000; 57207269194; 57210784318","Pain Interference Among Adult Dual Combustible and Electronic Tobacco Users in Terms of Perceived Barriers for Quitting","2023","Experimental and Clinical Psychopharmacology","32","1","","45","53","3","10.1037/pha0000660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168822068&doi=10.1037%2Fpha0000660&partnerID=40&md5=a325385f706c0bd8456342c2dff80457","American Psychological Association","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85168822068"
"Cook, S.; Hirschtick, J.L.; Barnes, G.; Arenberg, D.; Bondarenko, I.; Patel, A.; Jiminez Mendoza, E.; Jeon, J.; Levy, D.; Meza, R.; Fleischer, N.L.","Cook, Steven F. (37012449800); Hirschtick, Jana L. (55457692900); Barnes, Geoffrey D. (21742195200); Arenberg, Douglas A. (57516942800); Bondarenko, Irina V. (7102075254); Patel, Akash (57226165822); Jiminez Mendoza, Evelyn (58196345200); Jeon, Jihyoun (14041529100); Levy, David Theodore (35488134000); Meza, Rafael (8895339300); Fleischer, Nancy L. (35302216200)","37012449800; 55457692900; 21742195200; 57516942800; 7102075254; 57226165822; 58196345200; 14041529100; 35488134000; 8895339300; 35302216200","Time-varying association between cigarette and ENDS use on incident hypertension among US adults: A prospective longitudinal study","2023","BMJ Open","13","4","A338","","","7","10.1136/bmjopen-2022-062297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153542919&doi=10.1136%2Fbmjopen-2022-062297&partnerID=40&md5=6a241d001ef14795a472251866bc9ead","BMJ Publishing Group","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85153542919"
"Alzahrani, T.; Alhazmi, M.F.; Alharbi, A.N.; Alahmadi, F.T.; Alhubayshi, A.N.; Alzahrani, B.A.","Alzahrani, Talal S. (57200557663); Alhazmi, Marwan F. (59891318100); Alharbi, Ahmed N. (58519905300); Alahmadi, Feras T. (58519759700); Alhubayshi, Amer N. (58520341900); Alzahrani, Bader Ahmed S. (57223282237)","57200557663; 59891318100; 58519905300; 58519759700; 58520341900; 57223282237","The Prevalence of Electronic Cigarette Use Among College Students of Taibah University and Symptoms of Cardiovascular Disease","2023","Journal of the Saudi Heart Association","35","2","3","163","168","7","10.37616/2212-5043.1338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166541326&doi=10.37616%2F2212-5043.1338&partnerID=40&md5=52449b88ac2a4352d083cfa96623ace8","Saudi Heart Association","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85166541326"
"Olszewski, N.A.; Tetteh-Quarshie, S.; Henderson, B.J.","Olszewski, Nathan A. (57466125800); Tetteh-Quarshie, Samuel (57966454800); Henderson, Brandon Jarrod (26026940900)","57466125800; 57966454800; 26026940900","Understanding the Impact of Flavors on Vaping and Nicotine Addiction-Related Behaviors","2022","Current Behavioral Neuroscience Reports","9","4","","144","154","1","10.1007/s40473-022-00253-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141981261&doi=10.1007%2Fs40473-022-00253-0&partnerID=40&md5=cd5e38d580933fa4ecfe778f1d4254bb","Springer Science and Business Media B.V.","Review","Final","","Scopus","2-s2.0-85141981261"
"Singh, A.N.; Kumar, P.","Singh, Abaidya Nath (57204607433); Kumar, Pankaj (57214055242)","57204607433; 57214055242","Combating the menace of indoor air pollution for sustainability","2022","","","","","167","188","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138064602&partnerID=40&md5=722f3bc478709e140aba4a867ee953e7","Nova Science Publishers, Inc.","Book chapter","Final","","Scopus","2-s2.0-85138064602"
"Espinoza-Derout, J.; Shao, X.M.; Lao, C.J.; Hasan, K.M.; Rivera, J.C.; Jordan, M.C.; Echeverria, V.; Roos, K.P.; Sinha-Hikim, A.P.; Friedman, T.C.","Espinoza-Derout, Jorge (16425531500); Shao, Xuesi Max (7202920469); Lao, Candice J. (57902377100); Hasan, Kamrul M. (57211428811); Rivera, Juan Carlos (57903422400); Jordan, Maria C. (7202293911); Echeverria, Valentina (9276919000); Roos, Kenneth P. (7102792179); Sinha-Hikim, Amiya P. (7003395750); Friedman, Theodore C. (7102273090)","16425531500; 7202920469; 57902377100; 57211428811; 57903422400; 7202293911; 9276919000; 7102792179; 7003395750; 7102273090","Electronic Cigarette Use and the Risk of Cardiovascular Diseases","2022","Frontiers in Cardiovascular Medicine","9","","879726","","","58","10.3389/fcvm.2022.879726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138520355&doi=10.3389%2Ffcvm.2022.879726&partnerID=40&md5=ddc0e1d45c1af408e610ac803f16c669","Frontiers Media S.A.","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85138520355"
