"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Fabiana Goessler, K.; Buys, R.; Cornelissen, V.A.","Fabiana Goessler, Karla (37007331100); Buys, Roselien (36467966400); Cornelissen, Véronique Ann (6507297372)","37007331100; 36467966400; 6507297372","Low-intensity isometric handgrip exercise has no transient effect on blood pressure in patients with coronary artery disease","2016","Journal of the American Society of Hypertension","10","8","","633","639","20","10.1016/j.jash.2016.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975706458&doi=10.1016%2Fj.jash.2016.04.006&partnerID=40&md5=6dbebc992522175b2c7a684f00391f55","Elsevier Ireland Ltd","Article","Final","","Scopus","2-s2.0-84975706458"
"Li, Y.T.; Wang, H.H.X.; Liu, K.Q.L.; Lee, G.K.Y.; Chan, W.M.; Griffiths, S.M.; Chen, R.L.","Li, Yu Ting (57215436902); Wang, Harry H.X. (57207238718); Liu, Kirin Qi Lin (55661765400); Lee, Gabrielle K.Y. (55661561000); Chan, Waiman (57220967604); Griffiths, Siân Meryl (35233240400); Chen, Ruoling (8898530700)","57215436902; 57207238718; 55661765400; 55661561000; 57220967604; 35233240400; 8898530700","Medication Adherence and Blood Pressure Control Among Hypertensive Patients With Coexisting Long-Term Conditions in Primary Care Settings","2016","Medicine (United States)","95","20","e3572","","","41","10.1097/MD.0000000000003572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973542623&doi=10.1097%2FMD.0000000000003572&partnerID=40&md5=be0cb6b18102e84b19cbf7ac3a0224a1","Lippincott Williams and Wilkins","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84973542623"
"Lu, W.","Lu, Wen (55484293300)","55484293300","Could intensive anti-hypertensive therapy produce the ""J-curve effect"" in patients with Coronary Artery Disease and hypertension after revascularization?","2016","European Review for Medical and Pharmacological Sciences","20","7","","1350","1355","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017095550&partnerID=40&md5=93687562f62270436341d2ee50153fc3","Verduci Editore g.lombardi@verduci.it","Article","Final","","Scopus","2-s2.0-85017095550"
"Wang, H.; Fox, C.S.; Troy, L.M.; McKeown, N.M.; Jacques, P.F.","Wang, Huifen (37113205500); Fox, Caroline S. (56386785100); Troy, Lisa M. (6603316641); McKeown, Nicola M. (7006570760); Jacques, Paul F. (57202992904)","37113205500; 56386785100; 6603316641; 7006570760; 57202992904","Longitudinal association of dairy consumption with the changes in blood pressure and the risk of incident hypertension: The Framingham Heart Study","2015","British Journal of Nutrition","114","11","","1887","1899","82","10.1017/S0007114515003578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949317236&doi=10.1017%2FS0007114515003578&partnerID=40&md5=3449e6dbeb92d6661fb779fa33608678","Cambridge University Press Journals_subscriptions@cup.cam.ac.uk","Article","Final","All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84949317236"
"Robinson, E.; Cassidy, R.S.; Tate, M.; Zhao, Y.; Lockhart, S.; Calderwood, D.; Church, R.; McGahon, M.K.; Derek Brazil, D.P.; McDermott, B.J.; Green, B.D.; Grieve, D.J.","Robinson, Emma (56567352800); Cassidy, Roslyn S. (12797357300); Tate, Mitchel (56457818800); Zhao, Youyou (12767110000); Lockhart, Samuel M. (56644313100); Calderwood, Danielle (46960993000); Church, Rachel H. (55747815400); McGahon, Mary K. (8952174200); Derek Brazil, Derek P. (6701618954); McDermott, BJ Jean (7005038180); Green, Brian D. (7401824687); Grieve, David J. (7005943732)","56567352800; 12797357300; 56457818800; 12767110000; 56644313100; 46960993000; 55747815400; 8952174200; 6701618954; 7005038180; 7401824687; 7005943732","Exendin-4 protects against post-myocardial infarction remodelling via specific actions on inflammation and the extracellular matrix","2015","Basic Research in Cardiology","110","2","","","","64","10.1007/s00395-015-0476-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935009269&doi=10.1007%2Fs00395-015-0476-7&partnerID=40&md5=d206867d2fdc52068a88d217508d2434","Dr. Dietrich Steinkopff Verlag GmbH and Co. KG","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84935009269"
"Muiya, N.P.; Wakil, S.; Al-Najai, M.; Tahir, A.I.; Baz, B.; Andres, E.; Al-Boudari, O.; Al-Tassan, N.; al-Shahid, M.; Meyer, B.F.; Dzimiri, N.","Muiya, Nzioka P. (55959687900); Wakil, Salma Majid (7006326313); Al-Najai, Mohammed (34969049600); Tahir, Asma I. (55616434900); Baz, Betoul (54386568900); Andres, Editha (7103334157); Al-Boudari, Olayan M. (13403313500); Al-Tassan, Nada A. (6507755844); al-Shahid, Maie S. (6507719440); Meyer, Brian Francis (36910601300); Dzimiri, Nduna Francis (55959672800)","55959687900; 7006326313; 34969049600; 55616434900; 54386568900; 7103334157; 13403313500; 6507755844; 6507719440; 36910601300; 55959672800","A study of the role of GATA2 gene polymorphism in coronary artery disease risk traits","2014","Gene","544","2","","152","158","37","10.1016/j.gene.2014.04.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900484776&doi=10.1016%2Fj.gene.2014.04.064&partnerID=40&md5=9e47bad1f2fda85a2dd1e5b4bd118735","Elsevier B.V.","Article","Final","","Scopus","2-s2.0-84900484776"
"de Godoy, J.M.P.","de Godoy, José Maria Pereira D. (55971061700)","55971061700","Systolic pressure in wound scarring","2014","Giornale di Chirurgia","35","11","","302","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922353390&partnerID=40&md5=33a70fee2efbef2a0096f4663694afb8","CIC Edizioni Internazionali s.r.l.","Letter","Final","","Scopus","2-s2.0-84922353390"
"Manchikanti, L.; Candido, K.D.; Kaye, A.D.; Boswell, M.V.; Benyamin, R.M.; Falco, F.J.E.; Gharibo, C.G.; Hirsch, J.A.","Manchikanti, Laxmaiah M. (7005065169); Candido, Kenneth D. (16202053000); Kaye, Alan David (34975085700); Boswell, Mark V. (57203252377); Benyamin, Ramsin M. (9333649500); Falco, Frank J.E. (7003934494); Gharibo, Christopher G. (57202326967); Hirsch, Joshua Adam (7402780620)","7005065169; 16202053000; 34975085700; 57203252377; 9333649500; 7003934494; 57202326967; 7402780620","Randomized Trial of Epidural Injections for Spinal Stenosis Published in The New England Journal of Medicine: Further Confusion Without Clarification","2014","Pain Physician","17","4","","E475","E487","42","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904676316&partnerID=40&md5=eb611370c9b6318ffec003f40c6ad82c","American Society of Interventional Pain Physicians editor@painphysicianjournal.com","Article","Final","","Scopus","2-s2.0-84904676316"
"Mostaedi, R.; Lackey, D.E.; Adams, S.H.; Dada, S.A.; Hoda, Z.A.; Ali, M.R.","Mostaedi, Rouzbeh (55755833900); Lackey, Denise E. (55874377200); Adams, Sean H. (57639624200); Dada, Stephen A. (15061087000); Hoda, Zahid A. (24279286100); Ali, Mohamed R. (55383659400)","55755833900; 55874377200; 57639624200; 15061087000; 24279286100; 55383659400","Prevalence of undiagnosed and inadequately treated type 2 diabetes mellitus, hypertension, and Dyslipidemia in morbidly obese patients who present for Bariatric surgery","2014","Obesity Surgery","24","6","","927","935","11","10.1007/s11695-014-1196-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901483396&doi=10.1007%2Fs11695-014-1196-z&partnerID=40&md5=1d974b9a5b582665795ecefebea3a302","Springer New York LLC journals@springer-sbm.com","Article","Final","","Scopus","2-s2.0-84901483396"
"Wilson, G.; Aruliah, D.A.; Brown, C.T.; Chue Hong, N.P.; Davis, M.; Guy, R.T.; Haddock, S.H.D.; Huff, K.D.; Mitchell, I.M.; Plumbley, M.D.; Waugh, B.; White, E.P.; Wilson, P.","Wilson, Greg V. (8231224700); Aruliah, Dhavide A. (15030914300); Brown, C. Titus (22958999700); Chue Hong, Neil Philippe (8558277300); Davis, Matt (57214424864); Guy, Richard T. (55142316500); Haddock, Steven H.D. (7003746627); Huff, Kathryn D. (55636448200); Mitchell, Ian M. (57196951396); Plumbley, Mark D. (6603774794); Waugh, Benedict M. (14824389500); White, Ethan P. (7401613097); Wilson, Paul P.H. (8417608800)","8231224700; 15030914300; 22958999700; 8558277300; 57214424864; 55142316500; 7003746627; 55636448200; 57196951396; 6603774794; 14824389500; 7401613097; 8417608800","Best Practices for Scientific Computing","2014","PLOS Biology","12","1","e1001745","","","464","10.1371/journal.pbio.1001745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893773697&doi=10.1371%2Fjournal.pbio.1001745&partnerID=40&md5=0c6d546a7b150afabb36d1d3bf44da2a","Public Library of Science plos@plos.org","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84893773697"
"Muiya, N.P.; Al-Najai, M.; Tahir, A.I.; Elhawari, S.; Gueco, D.; Andres, E.; Mazhar, N.; Al-Tassan, N.; Meyer, B.F.; Shahid, M.; Dzimiri, N.","Muiya, Nzioka P. (55959687900); Al-Najai, Mohammed (34969049600); Tahir, Asma I. (55616434900); Elhawari, Samar (36128300000); Gueco, Daisy (55616816800); Andres, Editha (7103334157); Mazhar, Nejat (55912779800); Al-Tassan, Nada A. (6507755844); Meyer, Brian Francis (36910601300); Shahid, Maie S.A. (7006510486); Dzimiri, Nduna Francis (55959672800)","55959687900; 34969049600; 55616434900; 36128300000; 55616816800; 7103334157; 55912779800; 6507755844; 36910601300; 7006510486; 55959672800","The 3′-UTR of the adiponectin Q gene harbours susceptibility loci for atherosclerosis and its metabolic risk traits","2013","BMC Medical Genetics","14","1","127","","","7","10.1186/1471-2350-14-127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889993965&doi=10.1186%2F1471-2350-14-127&partnerID=40&md5=90919445ce7e270cc0530013d99fc031","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84889993965"
"Cui, S.; Xu, M.; Wang, S.; Tang, C.; Lai, X.; Fan, Z.","Cui, Shaoyang (25622238500); Xu, Mingzhu (57203728468); Wang, Shuhui (56047969500); Tang, Chunzhi (9045104300); Lai, Xinsheng (56047230700); Fan, Zhiqi (56047119000)","25622238500; 57203728468; 56047969500; 9045104300; 56047230700; 56047119000","Antihypertensive effect of acupuncturing at KI3 in spontaneously hypertensive rats","2013","","","","6732747","19","25","0","10.1109/BIBM.2013.6732747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894517378&doi=10.1109%2FBIBM.2013.6732747&partnerID=40&md5=ac7c39f114a3ef8015de022ec3b52950","","Conference paper","Final","","Scopus","2-s2.0-84894517378"
"Bulatova, N.R.; Yousef, A.-M.; Aburuz, S.D.; Abu Farha, R.A.","Bulatova, Nailya R. (36721103400); Yousef, Al Motassem F. (8847282700); Aburuz, Salahdein Mohammed (55886382800); Abu Farha, Rana K. (56283149600)","36721103400; 8847282700; 55886382800; 56283149600","Hypertension management and factors associated with blood pressure control in Jordanian patients attending cardiology clinic","2013","Tropical Journal of Pharmaceutical Research","12","5","","827","833","7","10.4314/tjpr.v12i5.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885796402&doi=10.4314%2Ftjpr.v12i5.25&partnerID=40&md5=a7bc74084d36a545b4cfb4f9808b922f","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84885796402"
"Lin, J.-D.; Wu, T.-Y.; Lin, L.-P.; Hsu, S.-W.; Liu, C.-T.; Wu, C.-L.","Lin, Jingyi Ding (13614357600); Wu, Tzuying (55805765300); Lin, Lanping (24559098500); Hsu, Shangwei (14632137600); Liu, Chienting (55204375500); Wu, Chialing (57135496700)","13614357600; 55805765300; 24559098500; 14632137600; 55204375500; 57135496700","An exploratory study of health behaviors and the risks for triple H (hypertension, hyperlipidemia, and hyperglycemia) in young adults with disabilities between 20 and 39 years of age","2013","Research in Developmental Disabilities","34","10","","3211","3217","8","10.1016/j.ridd.2013.06.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880813323&doi=10.1016%2Fj.ridd.2013.06.044&partnerID=40&md5=486f647a3498b5f788e9eca13f34da84","","Article","Final","","Scopus","2-s2.0-84880813323"
"Kereiakes, D.J.; Chrysant, S.G.; Izzo, J.L.; Littlejohn, T.; Melino, M.; Lee, J.; Fernandez, V.; Heyrman, R.","Kereiakes, Dean J. (7102386988); Chrysant, Steven G. (7006968883); Izzo, Joseph Lewis (35394534100); Littlejohn, Thomas Willard (35464773700); Melino, Michael R. (7003326908); Lee, James (55315958300); Fernandez, Victor (55098844300); Heyrman, Reinilde (24179313400)","7102386988; 7006968883; 35394534100; 35464773700; 7003326908; 55315958300; 55098844300; 24179313400","Olmesartan/amlodipine/hydrochlorothiazide in participants with hypertension and diabetes, chronic kidney disease, or chronic cardiovascular disease: A subanalysis of the multicenter, randomized, double-blind, parallel-group TRINITY study","2012","Cardiovascular Diabetology","11","","134","","","26","10.1186/1475-2840-11-134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867895924&doi=10.1186%2F1475-2840-11-134&partnerID=40&md5=166017a6c7885f8b72ec26e71dda4ba5","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84867895924"
"Lai, X.; Wang, J.; Nabar, N.R.; Pan, S.; Tang, C.; Huang, Y.; Hao, M.; Yang, Z.; Ma, C.; Zhang, J.; Chew, H.; He, Z.; Yang, J.; Su, B.; Zhang, J.; Liang, J.; Sneed, K.B.; Zhou, S.-F.","Lai, Xinsheng (56047230700); Wang, Jiayou (57202341438); Nabar, Neel R. (54943565900); Pan, Sanqiang (7402713641); Tang, Chunzhi (9045104300); Huang, Yong (7501577756); Hao, Mufeng (44360925000); Yang, Zhonghua (57198698436); Ma, Chunmei (44361233800); Zhang, Jin (59835843600); Chew, Helen (54415555700); He, Zhenquan (36854439100); Yang, Junjun (36926710500); Su, Baogui (7201567183); Zhang, Jian (57196384105); Liang, Jun (55712854900); Sneed, Kevin B. (6603654379); Zhou, Shufeng (43761748200)","56047230700; 57202341438; 54943565900; 7402713641; 9045104300; 7501577756; 44360925000; 57198698436; 44361233800; 59835843600; 54415555700; 36854439100; 36926710500; 7201567183; 57196384105; 55712854900; 6603654379; 43761748200","Proteomic Response to Acupuncture Treatment in Spontaneously Hypertensive Rats","2012","PLOS ONE","7","9","e44216","","","44","10.1371/journal.pone.0044216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866316289&doi=10.1371%2Fjournal.pone.0044216&partnerID=40&md5=25b0a9bb3012767af54380f68dc752bb","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84866316289"
