"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Florean, D.","Florean, Daniele (59366323100)","59366323100","Research note: Multidimensional gender ideologies, rural/urban living and self perceptions of place in a German survey; Forschungsnotiz: Geschlechterideologien, Land-/Stadtleben und Selbstwahrnehmung des Lebensortes in einer deutschen Umfrage.","2025","Journal of Family Research","37","","","227","242","0","10.20377/jfr-1243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010972327&doi=10.20377%2Fjfr-1243&partnerID=40&md5=26a402ec27dddfb5738a212432a1af70","University of Bamberg","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105010972327"
"Holland, M.M.; Prohaska, A.","Holland, Melanie M. (57190739454); Prohaska, Ariane (10045439800)","57190739454; 10045439800","Gender Effects Across Place: A Multilevel Investigation of Gender, Race/Ethnicity, and Region in Sentencing","2021","Race and Justice","11","1","","91","112","16","10.1177/2153368718767495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046664162&doi=10.1177%2F2153368718767495&partnerID=40&md5=6681c625ff51c9fa32f616ae0ec04b78","SAGE Publications Inc.","Article","Final","","Scopus","2-s2.0-85046664162"
"Dirksmeier, P.","Dirksmeier, Peter (22134520700)","22134520700","Sexism in the postcolonial society of Mauritius: The role of metropolisation and communalism","2017","Applied Geography","79","","","179","186","3","10.1016/j.apgeog.2016.12.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008877355&doi=10.1016%2Fj.apgeog.2016.12.014&partnerID=40&md5=002fdc458850d2e36c4cabd60ecc2465","Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85008877355"
"Dirksmeier, P.","Dirksmeier, Peter (22134520700)","22134520700","The intricate geographies of gender ideologies in Germany","2015","Geoforum","64","","","12","24","13","10.1016/j.geoforum.2015.05.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930641994&doi=10.1016%2Fj.geoforum.2015.05.022&partnerID=40&md5=7cf53bb1cedc27971441d9882ab0f102","Elsevier Ltd","Article","Final","","Scopus","2-s2.0-84930641994"
"Larsen, E.A.","Larsen, Elizabeth (55926387800)","55926387800","Gender, Work, and Harness Racing: Fast Horses and Strong Women in Southwestern Pennsylvania","2014","","","","","1","187","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016288090&partnerID=40&md5=7195d7a32c6e89bbc618f84081e38b16","Bloomsbury Publishing Plc.","Book","Final","","Scopus","2-s2.0-105016288090"
"Swank, E.; Frost, D.M.; Fahs, B.","Swank, Eric W. (55948460600); Frost, David M. (12807081700); Fahs, Breanne (26039060900)","55948460600; 12807081700; 26039060900","Rural location and exposure to minority stress among sexual minorities in the United States","2012","Psychology and Sexuality","3","3","","226","243","112","10.1080/19419899.2012.700026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865439741&doi=10.1080%2F19419899.2012.700026&partnerID=40&md5=cb00e1c2cf78915c3eecf3f1541d00c2","","Article","Final","","Scopus","2-s2.0-84865439741"
"Kroska, A.; Elman, C.","Kroska, Amy (6602797557); Elman, Cheryl S. (6701738063)","6602797557; 6701738063","Change in attitudes about employed mothers: Exposure, interests, and gender ideology discrepancies","2009","Social Science Research","38","2","","366","382","107","10.1016/j.ssresearch.2008.12.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63649153408&doi=10.1016%2Fj.ssresearch.2008.12.004&partnerID=40&md5=295f006e59ab5ac117833ad47d1e5d08","","Article","Final","","Scopus","2-s2.0-63649153408"
"Istenič, M.Č.","Istenič, Majda Černič (36956364900)","36956364900","Attitudes towards gender roles and gender role behaviour among urban, rural, and farm populations in Slovenia","2007","Journal of Comparative Family Studies","38","3","","477","496","26","10.3138/jcfs.38.3.477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548502242&doi=10.3138%2Fjcfs.38.3.477&partnerID=40&md5=1b6cc7aee10dd2c75064ea018ff670bc","University of Calgary","Article","Final","","Scopus","2-s2.0-34548502242"
"Zvonkovic, A.M.; Solomon, C.R.; Humble, Á.M.; Manoogian, M.","Zvonkovic, Anisa Mary (6603231480); Solomon, Catherine Richards (9278565100); Humble, Áine M. (9278565200); Manoogian, Margaret M. (6508371127)","6603231480; 9278565100; 9278565200; 6508371127","Family work and relationships: Lessons from families of men whose jobs require travel","2005","Family Relations","54","3","","411","422","49","10.1111/j.1741-3729.2005.00327.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27844529483&doi=10.1111%2Fj.1741-3729.2005.00327.x&partnerID=40&md5=88d8c3ee95197c01775d170989013116","","Article","Final","","Scopus","2-s2.0-27844529483"
"Taub, D.E.; Fanflik, P.L.; McLorg, P.A.","Taub, Diane Diane (35946904400); Fanflik, Patricia L. (6508186501); McLorg, Penelope A. (56619649000)","35946904400; 6508186501; 56619649000","Body image among women with physical disabilities: Internalization of norms and reactions to nonconformity","2003","Sociological Focus","36","2","","159","176","27","10.1080/00380237.2003.10570722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1342339645&doi=10.1080%2F00380237.2003.10570722&partnerID=40&md5=b344a8e9329d3a7c0479a64050d9b53c","","Article","Final","","Scopus","2-s2.0-1342339645"
