"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Arpitha, P.; Bolorin-Vargas, L.; Gonzalez-Viera, G.; Rodriguez-Garcia, M.; Jovet-Toledo, G.; Molina-Vicenty, I.L.; Collazo-Rodriguez, L.; Reyes-Rabanillo, M.L.","Arpitha, Parthasarathy (12446161300); Bolorin-Vargas, Laura (59938900600); Gonzalez-Viera, Glorisel (59939214500); Rodriguez-Garcia, Marta (59939109900); Jovet-Toledo, Gerardo G. (49863728000); Molina-Vicenty, Irma L. (57148324600); Collazo-Rodriguez, Luis (59939004300); Reyes-Rabanillo, María Leticia (35387050100)","12446161300; 59938900600; 59939214500; 59939109900; 49863728000; 57148324600; 59939004300; 35387050100","Natural disasters and SARS-CoV-2: potential risk factors for exacerbating mental health conditions among veterans","2025","Discover Mental Health","5","1","28","","","0","10.1007/s44192-025-00147-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007713290&doi=10.1007%2Fs44192-025-00147-z&partnerID=40&md5=9855807098ffc193ba0a48f00dcba5fc","Springer Nature","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105007713290"
"Li, B.; Liang, Y.; Liu, B.; Yao, Y.","Li, Bin (56387774700); Liang, Yilan (57363369600); Liu, Bin (57113791400); Yao, Yao (57216923937)","56387774700; 57363369600; 57113791400; 57216923937","How Does Climate Risk Affect Corporate Investment Efficiency? Evidence From China","2025","World Economy","48","8","","1897","1921","1","10.1111/twec.13728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007973283&doi=10.1111%2Ftwec.13728&partnerID=40&md5=c03649ffe1550468065e5cef04153f1a","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-105007973283"
"Arai, T.","Arai, Takahiro (58916400200)","58916400200","Short-Term Preliminary Evaluation of Suicide Following the 2024 Noto Peninsula Earthquake in Japan Using Time Series Analysis","2025","Crisis","46","4","","218","224","0","10.1027/0227-5910/a001003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004341656&doi=10.1027%2F0227-5910%2Fa001003&partnerID=40&md5=095452cce770444bbebc74bcc3ff167a","Hogrefe Publishing GmbH","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105004341656"
"Kaplan, V.; Düken, M.E.; Kaya, R.; Alkasaby, M.","Kaplan, Veysel (57217609128); Düken, Mehmet Emin (57208036512); Kaya, Rabia (58066552200); Alkasaby, Muhammad Abdullatif (57339160700)","57217609128; 57208036512; 58066552200; 57339160700","The impact of Kahramanmaraş (2023) earthquake on adolescents: Exploring psychological impact, suicide possibility and future expectations","2024","Cambridge Prisms: Global Mental Health","11","","e115","","","4","10.1017/gmh.2024.90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210930625&doi=10.1017%2Fgmh.2024.90&partnerID=40&md5=e2ce04a6f36239c94b1bd4b99b7625f7","Cambridge University Press","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85210930625"
"Li, B.; Yao, Y.; Usman, M.; Han, M.","Li, Bin (56387774700); Yao, Yao (57216923937); Usman, Muhammad (57207835757); Han, Miaodi (57226133597)","56387774700; 57216923937; 57207835757; 57226133597","How does climate risk affect corporate innovation? Evidence from China","2024","Accounting and Finance","64","3","","2279","2319","15","10.1111/acfi.13215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180723290&doi=10.1111%2Facfi.13215&partnerID=40&md5=9a1622769c6203b22a12522ff622889d","John Wiley and Sons Inc","Article","Final","","Scopus","2-s2.0-85180723290"
"Mendoza-Saldaña, Y.R.; Fajardo-Alfaro, W.","Mendoza-Saldaña, Yeny Roxana (59010402700); Fajardo-Alfaro, Williams (59009392200)","59010402700; 59009392200","Suicide mortality and its behavioral characteristics in the city of Lima during the years 2017-2022; Mortalidad por suicidio y sus características de comportamiento en la ciudad de Lima durante los años 2017-2022","2024","Revista de Neuro-Psiquiatria","87","1","","4","17","0","10.20453/rnp.v87i1.4950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191863093&doi=10.20453%2Frnp.v87i1.4950&partnerID=40&md5=82ad6d3e55cef9e4aae5471a9308b97e","Universidad Peruana Cayetano Heredia, Facultad de Medicina Alberto Hurtado","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85191863093"
"Mani, V.; Puri, M.; Manikappa, S.K.; Goyal, A.K.; Christy, J.; Dinakaran, D.; Benegal, V.","Mani, Vinisha (58635352800); Puri, Madhavi (58634433500); Manikappa, Sanjeev Kumar (57218649647); Goyal, Ajay Kumar (57225022038); Christy, Jayakumar (57208747499); Dinakaran, Damodharan (56493276400); Benegal, Vivek (14633169900)","58635352800; 58634433500; 57218649647; 57225022038; 57208747499; 56493276400; 14633169900","Changes in Suicide Rate Following Major Disasters in India","2024","Indian Journal of Psychological Medicine","46","1","","92","93","1","10.1177/02537176231198096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173488208&doi=10.1177%2F02537176231198096&partnerID=40&md5=bebc4db24d7c94a50a3813f55b97bbd8","SAGE Publications Ltd","Letter","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85173488208"
"Rahmani, M.; Silverman, A.L.; Thompson, A.; Pumariega, A.","Rahmani, Mariam (56038677700); Silverman, Andrew L. (57209471264); Thompson, Andrew (58629211400); Pumariega, Andrés J. (7003447197)","56038677700; 57209471264; 58629211400; 7003447197","Youth Suicidality in the Context of Disasters","2023","Current Psychiatry Reports","25","11","","587","602","8","10.1007/s11920-023-01454-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173019710&doi=10.1007%2Fs11920-023-01454-4&partnerID=40&md5=10840fe2fba94016d5822cd4ee1e3bcc","Springer","Review","Final","","Scopus","2-s2.0-85173019710"
"Teismann, T.; Naghavi, A.; Asgari, Z.; Grundei, L.; Brailovskaia, J.","Teismann, Tobias (25224099600); Naghavi, Azam (57209218125); Asgari, Zahra Mirza (59795695800); Grundei, Lena (57695533900); Brailovskaia, Julia (56872888600)","25224099600; 57209218125; 59795695800; 57695533900; 56872888600","Posttraumatic stress disorder symptoms and suicidal ideation/behavior: The moderating effects of positive mental health and social support among Iranian and German students","2023","Current Psychology","42","24","","20757","20764","6","10.1007/s12144-022-03187-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130107482&doi=10.1007%2Fs12144-022-03187-8&partnerID=40&md5=ce83d1ddbdb5383472ac0c7c05a117f5","Springer","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85130107482"
"Pavicic, M.; Walker, A.M.; Sullivan, K.A.; Lagergren, J.; Cliff, A.; Romero, J.; Streich, J.; Garvin, M.R.; Pestian, J.; McMahon, B.; Oslin, D.W.; Beckham, J.C.; Kimbrel, N.A.; Jacobson, D.A.","Pavicic, Mirko (57193874019); Walker, Angelica M. (57211404457); Sullivan, Kyle A. (57200677258); Lagergren, John H. (57201419035); Cliff, Ashley M. (57212212927); Romero, Jonathon C. (57209345429); Streich, Jared C. (57204116291); Garvin, Michael R. (20433521400); Pestian, John P. (8058174500); McMahon, Benjamin H. (7102944152); Oslin, David W. (7005150966); Beckham, Jean C. (56713428900); Kimbrel, Nathan A. (15829507600); Jacobson, Dan A. (56548186700)","57193874019; 57211404457; 57200677258; 57201419035; 57212212927; 57209345429; 57204116291; 20433521400; 8058174500; 7102944152; 7005150966; 56713428900; 15829507600; 56548186700","Using iterative random forest to find geospatial environmental and Sociodemographic predictors of suicide attempts","2023","Frontiers in Psychiatry","14","","1178633","","","4","10.3389/fpsyt.2023.1178633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168272825&doi=10.3389%2Ffpsyt.2023.1178633&partnerID=40&md5=64cff8cd6f0599f2eb2ab78ad47bc501","Frontiers Media SA","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85168272825"
