"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Zonszein, S.","Zonszein, Stephanie (57219638027)","57219638027","Turn on, tune in, turn out: Ethnic radio and immigrants' political engagement","2025","American Journal of Political Science","69","3","","1128","1146","0","10.1111/ajps.12911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203078463&doi=10.1111%2Fajps.12911&partnerID=40&md5=b9c7de12b914cf7d431b12d63ca86112","John Wiley and Sons Inc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85203078463"
"Kim, E.; Patterson, S.","Kim, Eunji (57828922300); Patterson, Shawn (57211587247)","57828922300; 57211587247","The American Viewer: Political Consequences of Entertainment Media","2025","American Political Science Review","119","2","","917","931","1","10.1017/S0003055424000728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200591871&doi=10.1017%2FS0003055424000728&partnerID=40&md5=3fe1ce3eba01ca2b50fa1ab9de64cc2b","Cambridge University Press","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85200591871"
"Lemoli, G.","Lemoli, Giacomo (57226694903)","57226694903","Ethnic Media and the Mobilization of Identity","2025","Comparative Political Studies","58","5","","890","923","0","10.1177/00104140241252076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001083892&doi=10.1177%2F00104140241252076&partnerID=40&md5=257d16e7605afa2d4713054e4d5c1ce2","SAGE Publications Inc.","Article","Final","","Scopus","2-s2.0-105001083892"
"Elis, J.","Elis, Jonas (57557121200)","57557121200","How Do Immigrant-Origin and Native Voters Consume Political News Media During a National Election Campaign?; Wie konsumieren Wähler mit und ohne familiärer Migrationsgeschichte politische Nachrichtenmedien während eines nationalen Wahlkampfes?","2025","Politische Vierteljahresschrift","","","","","","0","10.1007/s11615-025-00618-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007855573&doi=10.1007%2Fs11615-025-00618-6&partnerID=40&md5=ece5f4c6e504b22919ac6cd631b0290c","Springer VS","Article","aip","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007855573"
"Sadhwani, S.","Sadhwani, Sara (57201449624)","57201449624","From Kamala Harris to Vivek Ramaswamy: the rising and complex prominence of Indian Americans in US electoral politics","2025","Ethnic and Racial Studies","48","15","","3059","3072","1","10.1080/01419870.2025.2503962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007809480&doi=10.1080%2F01419870.2025.2503962&partnerID=40&md5=5b696f6479ecb1026203ad282888976b","Routledge","Article","Final","","Scopus","2-s2.0-105007809480"
"Blasingame, E.N.; Boyd, C.L.; Carlos, R.F.; Ornstein, J.T.","Blasingame, Elise N. (56515504400); Boyd, Christina L. (23003709000); Carlos, Roberto Felix (55945540400); Ornstein, Joseph T. (55368023200)","56515504400; 23003709000; 55945540400; 55368023200","How the Trump Administration’s Quota Policy Transformed Immigration Judging","2024","American Political Science Review","118","4","","1688","1703","2","10.1017/S0003055423001028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175267286&doi=10.1017%2FS0003055423001028&partnerID=40&md5=c7eba3ee6f351087914102448422e013","Cambridge University Press","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85175267286"
"Fehder, D.; Teodoridis, F.; Raffiee, J.; Lu, J.","Fehder, Daniel C. (36657110100); Teodoridis, Florenta (57044698900); Raffiee, Joseph (56352172600); Lu, Jino (58678706600)","36657110100; 57044698900; 56352172600; 58678706600","The partisanship of American inventors","2024","Research Policy","53","7","105034","","","1","10.1016/j.respol.2024.105034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194552231&doi=10.1016%2Fj.respol.2024.105034&partnerID=40&md5=c630da9e313933d46754fb9214410a0b","Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85194552231"
"Brundage, M.; Little, A.T.; You, S.","Brundage, Matt (59247269100); Little, Andrew T. (55295445500); You, Soosun (59248191300)","59247269100; 55295445500; 59248191300","Selection Neglect and Political Beliefs","2024","Annual Review of Political Science","27","1","","63","85","1","10.1146/annurev-polisci-041322-033325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200436006&doi=10.1146%2Fannurev-polisci-041322-033325&partnerID=40&md5=e5948f660c8ae8606193fc4e21dbc23c","Annual Reviews Inc.","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85200436006"
"Wilson, W.C.; Preuhs, R.R.; Gervais, B.T.","Wilson, Walter Clark (34972381500); Preuhs, Robert R. (7801615846); Gervais, Bryan T. (55136094800)","34972381500; 7801615846; 55136094800","Spanish Language Media Consumption and Latino Civic Engagement","2024","Political Research Quarterly","77","1","","316","327","0","10.1177/10659129231209695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175038333&doi=10.1177%2F10659129231209695&partnerID=40&md5=1fd70fafa19ac7b2aaf699e1c16728ff","SAGE Publications Inc.","Article","Final","","Scopus","2-s2.0-85175038333"
"Wilson, W.C.; Preuhs, R.R.; Gervais, B.T.","Wilson, Walter Clark (34972381500); Preuhs, Robert R. (7801615846); Gervais, Bryan T. (55136094800)","34972381500; 7801615846; 55136094800","Spanish Vs. English Language Media Consumption and Latino Political Trust and Efficacy","2024","Political Communication","41","3","","482","503","1","10.1080/10584609.2024.2305752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183059709&doi=10.1080%2F10584609.2024.2305752&partnerID=40&md5=46ab15930a3d366fc1e3643aed1b7173","Routledge","Article","Final","","Scopus","2-s2.0-85183059709"
