"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Mangiò, F.; Pedeliento, G.; Wassler, P.; Williams, N.","Mangiò, Federico (57224403824); Pedeliento, Giuseppe (56038740700); Wassler, Philipp (56270707800); Williams, Nigel L. (55232599000)","57224403824; 56038740700; 56270707800; 55232599000","Discursively negotiating AI: A social representation theory approach to LLM-based chatbots","2025","Technological Forecasting and Social Change","221","","124352","","","0","10.1016/j.techfore.2025.124352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016679829&doi=10.1016%2Fj.techfore.2025.124352&partnerID=40&md5=2d0111deb2dbaf71c7bca7f54e894b91","Elsevier Inc.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105016679829"
"He, G.; Cheng, Y.; Yu, M.; Xu, L.; Chen, L.","He, Guizhen (55255292000); Cheng, Yu (60041068800); Yu, Mingzhao (55777350900); Xu, Li (59815518500); Chen, Long (57203096096)","55255292000; 60041068800; 55777350900; 59815518500; 57203096096","Human dimensions influencing karst landscapes at a World Heritage Site, China","2025","Ecological Frontiers","45","6","","1784","1794","0","10.1016/j.ecofro.2025.07.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013127266&doi=10.1016%2Fj.ecofro.2025.07.010&partnerID=40&md5=339266fd7737b925072342df79ff7aaf","Ecological Society of China","Article","Final","","Scopus","2-s2.0-105013127266"
"Inbar, Y.; Scott, S.E.; Rozin, P.","Inbar, Yoel (26867844000); Scott, Sydney E. (56152558600); Rozin, Paul N. (7005322591)","26867844000; 56152558600; 7005322591","Moral Opposition to Genetically Engineered Food in the United States, France, and Germany","2025","Annals of the New York Academy of Sciences","1552","1","","186","196","0","10.1111/nyas.70079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016127205&doi=10.1111%2Fnyas.70079&partnerID=40&md5=0605df74b9306779699d88048fd239b8","John Wiley and Sons Inc","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105016127205"
"Bonilla, T.","Bonilla, Tabitha (57201744128)","57201744128","The Influence of Partisanship on Assessments of Promise Fulfillment and Accountability","2025","American Political Science Review","119","2","","966","984","3","10.1017/S0003055424000807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200865245&doi=10.1017%2FS0003055424000807&partnerID=40&md5=bd8990cc541205f2f9db9013869b814d","Cambridge University Press","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85200865245"
"Han, J.; Asioli, D.; Zanello, G.; Caputo, V.","Han, Jia (57954323800); Asioli, Daniele (55315122900); Zanello, Giacomo (37073844300); Caputo, Vincenzina (48261045000)","57954323800; 55315122900; 37073844300; 48261045000","Consumer Preferences for Gene-Edited Foods: A Review of the Literature and Discussion of Industry and Policy Implications","2025","Journal of Agricultural Economics","","","","","","0","10.1111/1477-9552.70008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018311235&doi=10.1111%2F1477-9552.70008&partnerID=40&md5=e1ec44bb1e3cda21bdf0bd32dc87aa32","John Wiley and Sons Inc","Article","aip","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105018311235"
"Rollin, B.E.","Rollin, Bernard E. (7102166118)","7102166118","Ethical and Societal Issues Occasioned by Xenotransplantation","2025","","","","","225","244","0","10.1201/9781003652311-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018280091&doi=10.1201%2F9781003652311-8&partnerID=40&md5=06595733d5401876bbe4b7ba9130e894","Jenny Stanford Publishing","Book chapter","Final","","Scopus","2-s2.0-105018280091"
"Spina, D.; Pappalardo, G.; Raimondo, M.; Califano, G.; Di Vita, G.; Caracciolo, F.; D'Amico, M.","Spina, Daniela (57225298525); Pappalardo, G. (57189587562); Raimondo, Maria (57188575462); Califano, Giovanbattista (57358445100); Di Vita, Giuseppe Antonio (57194222042); Caracciolo, Francesco (57200742905); D'Amico, Mario (35721677200)","57225298525; 57189587562; 57188575462; 57358445100; 57194222042; 57200742905; 35721677200","Cultivating trust: public perception of RNAi technologies in agriculture","2025","International Journal of Food Science and Technology","60","1","vvaf066","","","6","10.1093/ijfood/vvaf066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003452075&doi=10.1093%2Fijfood%2Fvvaf066&partnerID=40&md5=63aada2c13011e5003f1ed381597d87d","Oxford University Press","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105003452075"
"McFadden, B.R.; Lusk, J.L.; May, C.; Schlichtig, E.","McFadden, Brandon R. (55966266100); Lusk, Jayson L. (7004997535); May, Caroline (59725033800); Schlichtig, Emily (59724726700)","55966266100; 7004997535; 59725033800; 59724726700","Assessing public opinion about controversial risks: the effects of allowing an escape hatch on internal consistency and validity","2025","Journal of Risk Research","28","1","","47","58","0","10.1080/13669877.2025.2485049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001961174&doi=10.1080%2F13669877.2025.2485049&partnerID=40&md5=2dfcbe497c74624763bc3d50ad8f64f8","Routledge","Article","Final","","Scopus","2-s2.0-105001961174"
"Zhu, B.; Phunthasaen, A.; Rungruengarporn, C.; Pinpak, S.","Zhu, Bing (55195174100); Phunthasaen, Ananya (59496218000); Rungruengarporn, Chainarong (59496094400); Pinpak, Salila (59496094500)","55195174100; 59496218000; 59496094400; 59496094500","Understanding Thai Consumers’ Intentions to Purchase Genetically Modified Foods","2024","Research on World Agricultural Economy","5","4","","217","238","1","10.36956/rwae.v5i4.1298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213797883&doi=10.36956%2Frwae.v5i4.1298&partnerID=40&md5=9847bf04231dba4a509aaa2822393fb3","Nan Yang Academy of Sciences Pte. Ltd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85213797883"
"Waldhof, G.; Kopp, R.T.","Waldhof, Gabi (57208438996); Kopp, Rita Theresa (59424986200)","57208438996; 59424986200","Our morality tells us what to eat – A systematic review on attitudes towards genetically modified foods","2024","Outlook on Agriculture","53","4","","363","375","3","10.1177/00307270241295398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210153424&doi=10.1177%2F00307270241295398&partnerID=40&md5=a51d7a97136a30bd556ffe27fd7689b7","SAGE Publications Inc.","Article","Final","","Scopus","2-s2.0-85210153424"
