"","title","authors.list","year","pub.date","doi"
"1","Radiologic, Pathologic, Clinical, and Physiologic Findings of Electronic Cigarette or Vaping Product Use-associated Lung Injury (EVALI): Evolving Knowledge and Remaining Questions","CAPORALE;HENRY;KANNE;KLEIN;KLIGERMAN;LARSEN;RAPTIS;SCHIEBLER;TAZELAAR;WEHRLI",2020,"MAR 2020","10.1148/radiol.2020192585"
"2","Dual use of electronic and conventional cigarettes is associated with higher cardiovascular risk factors in Korean men","CHEONG;KIM;LEE;LEE;PAEK;PARK;PARK;SEO",2020,"MAR 27 2020","10.1038/s41598-020-62545-3"
"3","E-Cigarette Health Harm Awareness and Discouragement: Implications for Health Communication","BAIG;BREWER;HALL;MENDEL;NOAR;RIBISL;ROHDE",2020,"JUL 2020","10.1093/ntr/ntz194"
"4","People smoke for nicotine, but lose sexual and reproductive health for tar: a narrative review on the effect of cigarette smoking on male sexuality and reproduction","CORONA;FERLIN;ISIDORI;JANNINI;MAGGI;PALLOTTI;PIVONELLO;SANSONE",2020,"OCT 2020","10.1007/s40618-020-01257-x"
"5","Changes in Nicotine Product Use among Dual Users of Tobacco and Electronic Cigarettes: Findings from the Population Assessment of Tobacco and Health (PATH) Study, 2013-2015","GONIEWICZ;MILLER;SMITH",2020,"APR 1 2020","10.1080/10826084.2019.1710211"
"6","Early Cardiovascular Risk in E-cigarette Users: the Potential Role of Metals","ACIEN;HILPERT;LOIACONO;MARTINEZ;MORATA;NAVAS;RULE;SHIMBO",2020,"DEC 2020","10.1007/s40572-020-00297-y"
"7","Why Is Vaping Going Up in Flames?","ALEXANDER;PEREZ",2020,"MAY 2020","10.1513/AnnalsATS.201910-802PS"
"8","Use of Cigarettes and E-Cigarettes and Dual Use Among Adult Employees in the US Workplace","HANNON;HARRIS;KAVA",2020,"FEB 2020","10.5888/pcd17.190217"
"9","Comparison of the risks of combustible cigarettes, e-cigarettes, and heated tobacco products","CHO",2020,"FEB 2020","10.5124/jkma.2020.63.2.96"
"10","Cross-Sectional Association Between Lifetime Use of Electronic Cigarettes With or Without Marijuana and Self-Reported Past 12-Month Respiratory Symptoms as well as Lifetime Respiratory Diseases in US Adults","LI;XIE",2020,"DEC 2020","10.1093/ntr/ntaa194"
"11","Home smoking and vaping policies among US adults: results from the Population Assessment of Tobacco and Health (PATH) study, wave 3","BANSAL;DREHMER;LI;MCINTOSH;OSSIP;RAHMAN;SHI;TRAVERS;WINICKOFF;XIE",2020,"OCT 2020","10.1016/j.ypmed.2020.106215"
"12","A re-analysis of e-cigarette use and heart attacks in PATH wave 1 data","PLURPHANSWAT;RODU",2020,"NOV 2020","10.1111/add.15067"
"13","A randomized trial comparing the acute coronary, systemic, and environmental effects of electronic vaping cigarettes <i>versus</i> heat-not-bum cigarettes in smokers of combustible cigarettes undergoing invasive coronary assessment: rationale and design of the SUR-VAPES 3 trial","ABBATE;BULLEN;CARNEVALE;CASATI;CAVARRETTA;FRATI;MACRINA;MARTINELLI;MARULLO;PERUZZI;ROMAGNOLI;SCIARRETTA;TRITAPEPE;VERSACI;VISCONTI;VITALI;ZOCCAI",2020,"DEC 2020","10.23736/S0026-4725.20.05181-6"
"14","An Update on Biological and Clinical Associations between E-Cigarettes and Myocardial Infarction","FAVALORO;LIPPI",2020,"JUN 2020","10.1055/s-0039-3402451"
"15","E-cigarettes: toxicological fiasco or better than not giving up smoking?","HERING",2020,"JUN 2020","10.1007/s00108-020-00794-0"
"16","Electronic cigarettes: A narrative review of the implications for the pediatric anesthesiologist","BAKER;LEMAY;MCROBBIE",2020,"JUN 2020","10.1111/pan.13885"
"17","Electronic Cigarette Explosion and Burn Injuries","BARNETT;EMECHEBE;GIMM;LIVINGSTON;ROSSHEIM;SOULE;THOMBS",2020,"MAY 2020","10.18001/TRS.6.3.2"
"18","Response: Risk Is Not Causation","DESAI;PAREKH",2020,"JUN 2020","10.1016/j.amepre.2020.01.026"
"19","The proper approach to assessing the impact of the fact that e-cigarettes were not available before 2007","BHATTA;GLANTZ",2020,"NOV 2020","10.1111/add.15103"
"20","Long-term cardiovascular risk of e-cigarettes","DAIBER;MUENZEL;SCHMIDT",2020,"APR 14 2020","10.1093/eurheartj/ehaa079"
