,title,year,pub.date,doi,pub.year.manual,pub.month.manual,pub.date.manual,notes
1,"Radiologic, Pathologic, Clinical, and Physiologic Findings of Electronic Cigarette or Vaping Product Use-associated Lung Injury (EVALI): Evolving Knowledge and Remaining Questions",2020,MAR 2020,10.1148/radiol.2020192585,2020,3,NA,
2,Dual use of electronic and conventional cigarettes is associated with higher cardiovascular risk factors in Korean men,2020,MAR 27 2020,10.1038/s41598-020-62545-3,2020,3,27,
3,E-Cigarette Health Harm Awareness and Discouragement: Implications for Health Communication,2020,JUL 2020,10.1093/ntr/ntz194,2020,7,NA,
4,"People smoke for nicotine, but lose sexual and reproductive health for tar: a narrative review on the effect of cigarette smoking on male sexuality and reproduction",2020,OCT 2020,10.1007/s40618-020-01257-x,2020,10,NA,
5,"Changes in Nicotine Product Use among Dual Users of Tobacco and Electronic Cigarettes: Findings from the Population Assessment of Tobacco and Health (PATH) Study, 2013-2015",2020,APR 1 2020,10.1080/10826084.2019.1710211,2020,4,1,
6,Early Cardiovascular Risk in E-cigarette Users: the Potential Role of Metals,2020,DEC 2020,10.1007/s40572-020-00297-y,2020,12,NA,
7,Why Is Vaping Going Up in Flames?,2020,MAY 2020,10.1513/AnnalsATS.201910-802PS,2020,5,NA,
8,Use of Cigarettes and E-Cigarettes and Dual Use Among Adult Employees in the US Workplace,2020,FEB 2020,10.5888/pcd17.190217,2020,2,NA,
9,"Comparison of the risks of combustible cigarettes, e-cigarettes, and heated tobacco products",2020,FEB 2020,10.5124/jkma.2020.63.2.96,2020,2,NA,
10,Cross-Sectional Association Between Lifetime Use of Electronic Cigarettes With or Without Marijuana and Self-Reported Past 12-Month Respiratory Symptoms as well as Lifetime Respiratory Diseases in US Adults,2020,DEC 2020,10.1093/ntr/ntaa194,2020,12,NA,
11,"Home smoking and vaping policies among US adults: results from the Population Assessment of Tobacco and Health (PATH) study, wave 3",2020,OCT 2020,10.1016/j.ypmed.2020.106215,2020,10,NA,
12,A re-analysis of e-cigarette use and heart attacks in PATH wave 1 data,2020,NOV 2020,10.1111/add.15067,2020,11,NA,
13,"A randomized trial comparing the acute coronary, systemic, and environmental effects of electronic vaping cigarettes <i>versus</i> heat-not-bum cigarettes in smokers of combustible cigarettes undergoing invasive coronary assessment: rationale and design of the SUR-VAPES 3 trial",2020,DEC 2020,10.23736/S0026-4725.20.05181-6,2020,12,NA,
14,An Update on Biological and Clinical Associations between E-Cigarettes and Myocardial Infarction,2020,JUN 2020,10.1055/s-0039-3402451,2020,6,NA,
15,E-cigarettes: toxicological fiasco or better than not giving up smoking?,2020,JUN 2020,10.1007/s00108-020-00794-0,2020,6,NA,
16,Electronic cigarettes: A narrative review of the implications for the pediatric anesthesiologist,2020,JUN 2020,10.1111/pan.13885,2020,6,NA,
17,Electronic Cigarette Explosion and Burn Injuries,2020,MAY 2020,10.18001/TRS.6.3.2,2020,5,NA,
18,Response: Risk Is Not Causation,2020,JUN 2020,10.1016/j.amepre.2020.01.026,2020,6,NA,
19,The proper approach to assessing the impact of the fact that e-cigarettes were not available before 2007,2020,NOV 2020,10.1111/add.15103,2020,6,NA,
20,Long-term cardiovascular risk of e-cigarettes,2020,APR 14 2020,10.1093/eurheartj/ehaa079,2020,4,14,
21,"RETRACTION: Electronic Cigarette Use and Myocardial Infarction Among Adults in the US Population Assessment of Tobacco and Health (Retraction of Vol 8, art no E012317, 2019)",2020,FEB 18 2020,10.1161/JAHA.119.014519,2020,2,18,
22,Net Effect of Young Adult Dual Combusted Cigarette and E-Cigarette Users' Anticipated Responses to Hypothetical E-Cigarette Marketing Restrictions,2020,APR 1 2020,10.1080/10826084.2019.1710209,2020,4,1,
23,"Lipids, Blood Pressure, Kidney-what was New in 2012?",2012,NOV 15 2012,10.3923/ijp.2012.659.678,2012,11,15,
24,"Divergent marijuana trajectories among men: Socioeconomic, relationship, and life satisfaction outcomes in the mid-30s",2015,NOV 1 2015,10.1016/j.drugalcdep.2015.08.031,2015,11,1,
25,"Retraction of Nonmetropolitan sex-role ideologies: A longitudinal study (vol 64, pg 44, 1999)",2004,JUN 2004,10.1526/003601104323087624,2004,6,NA,
26,Identifying and mapping community vulnerability,1999,MAR 1999,10.1111/1467-7717.00102,1999,3,NA,
27,Glycated hemoglobin as an indicator of social environmental stress among indigenous versus westernized populations,1999,NOV 1999,10.1006/pmed.1999.0559,1999,11,NA,
28,The Kobe earthquake and reduced suicide rate in Japanese males,1999,MAR 1999,10.1001/archpsyc.56.3.282,1999,3,NA,
29,Retraction: Suicide after natural disasters,1999,JAN 14 1999,10.1056/NEJM199901143400213,1999,1,14,
30,"Tuning In, Not Turning Out: Evaluating the Impact of Ethnic Television on Political Participation (Expression of Concern of Vol 63, Pg 808, 2019)",2019,OCT 2019,10.1111/ajps.12455,2019,10,NA,
31,The impact of genetic modification of human foods in the 21st century: A review,2000,MAY 2000,10.1016/S0734-9750(00)00033-1,2000,5,NA,
32,US public opinion divided over biotechnology?,2000,SEP 2000,10.1038/79412,2000,9,NA,
33,"Comparison of the risks of combustible cigarettes, e-cigarettes, and heated tobacco products",2020,NA,10.5124/JKMA.2020.63.2.96,2000,2,NA,
34,E-cigarettes: no smoke without fire?,2020,NA,10.1017/S1357321720000112,2020,6,1,
35,E-Cigarettes: A Hazard or a Help?,2020,NA,10.1080/10920277.2019.1683040,2019,12,18,Published online before in print
36,"Olmesartan/amlodipine/hydrochlorothiazide in participants with hypertension and diabetes, chronic kidney disease, or chronic cardiovascular disease: A subanalysis of the multicenter, randomized, double-blind, parallel-group TRINITY study",2012,NA,10.1186/1475-2840-11-134,2012,10,30,
37,Proteomic Response to Acupuncture Treatment in Spontaneously Hypertensive Rats,2012,NA,10.1371/journal.pone.0044216,2012,9,12,
38,The j-curve revisited: A therapeutic dilemma,2012,NA,10.1097/CRD.0b013e3182564a34,2012,9,NA,Published September/October 2012
39,"High blood pressure in adults with disabilities: Influence of gender, body weight and health behaviors",2012,NA,10.1016/j.ridd.2012.03.027,2012,4,20,Date of online publication
40,Progress report on the first sub-Saharan Africa trial of newer versus older antihypertensive drugs in native black patients,2012,NA,10.1186/1745-6215-13-59,2012,5,17,
41,Showdown at the cannabis corral,2015,NA,10.1038/525S15a,2015,9,23,
42,Influence of School Factors on Adolescent Smoking Behavior From the Perspective of Hirschi’s Social Bond Theory,2021,NA,10.6209/JORIES.202112_66(4).0004,2021,12,NA,
43,Life Domains and Dating Violence Among Latino Youth: A Partial Test of Agnew’s Integrated General Theory,2021,NA,10.1177/0734016820966036,2020,10,14,Published online before in print
44,"Gender, Bullying Victimization, Depressive Symptoms, and Suicidality",2021,NA,10.1177/0306624X19895964,2019,22,12,Published online before in print
45,School Violence and Teacher Professional Engagement: A Cross-National Study,2021,NA,10.3389/fpsyg.2021.628809,2021,4,14,
46,Does school climate that includes students’ views deliver academic achievement? A multilevel meta-analysis,2021,NA,10.1080/09243453.2021.1920432,2021,5,3,Date of online publication
47,Student misbehaviour and school climate: A multilevel study; La conducta disruptiva y el clima escolar: Un estudio multinivel,2021,NA,10.5093/PSED2020A10,2021,1,NA,
48,Supporting students’ engagement with teachers’ feedback: the role of students’ school identification,2021,NA,10.1080/01443410.2020.1849564,2020,11,27,Date of online publication
49,Authoritative school climate and out-of-school suspensions: Results from a nationally-representative survey of 10th grade students,2021,NA,10.1080/1045988X.2020.1843129,2020,11,6,Published online before in print
50,Do Social Bonds Matter? Social Control Theory and Its Relationship to Desistance From Substance Abuse in China,2021,NA,10.1177/0022042620957020,2020,9,13,Published online before in print
51,When Gender Stereotypes Get Male Adolescents into Trouble: A Longitudinal Study on Gender Conformity Pressure as a Predictor of School Misconduct,2021,NA,10.1007/s11199-020-01147-9,2020,4,16,Published online before in print
52,Uncovering the: Hidden costs of coastal hazards,1999,NA,10.1080/00139159909604784,1999,10,NA,
53,Australian disaster triage: A colour maze in the Tower of Babel,1999,NA,10.1046/j.1440-1622.1999.01643.x,1999,2,9,Date of acceptance for publication
54,Interventions for acute trauma response,1999,NA,10.1097/00001504-199903000-00006,1999,3,NA,
55,On abandoning life when it is least difficult,1999,NA,10.1080/19485565.1999.9988993,1999,5,NA,Spring/summer 1999 - publication month around May/June? https://archive.org/details/sim_biodemography-and-social-biology_1954-1999_1-46_cumulative-index/page/338/mode/2up
56,Public perceptions of agricultural biotechnology and pesticides: Recent understandings and implications for risk communication,2000,NA,10.1093/ae/46.1.8,2000,1,1,
57,"Consumer concerns about industrialized agriculture and food safety: Importance, origin and possible solutions",2000,NA,10.1051/animres:2000121,2000,3,28,Date of acceptance for publication
58,Regulation of Genetically Modified Organisms in the European Union,2000,NA,10.1177/00027640021956260,2000,11,NA,
59,"Seeds of Discontent: Expert Opinion, Mass Media Messages, and the Public Image of Agricultural Biotechnology",2000,NA,10.1007/s11948-000-0012-4,2000,12,NA,
60,Genetically modified crops and the environment,2000,NA,10.2134/agronj2000.924797x,2000,7,1,
61,Ethical Dilemmas when Diagnosing Hypertension,2012,NA,NA,2012,10,NA,Oct-Dec 2012
62,PUBLIC AND PRIVATE EDUCATION IN AMERICA: Examining the Facts,2021,NA,NA,2021,12,NA,
63,"Evaluación de los efectos sanitarios a medio y largo plazo del terremoto de Hanshin Awaji de Kobe, Japón",1999,NA,NA,1999,NA,NA,
64,Agricultural Biotechnology and Societal Decision-making: The Role of Risk Analysis,2000,NA,NA,2000,NA,NA,
65,"Consumers, agriculture, food quality and food safety: An analysis of consumer questions and of the answers put forward; Les consommateurs, l'agriculture, la qualité et la sécurité des aliments: Une analyse du questionnement des consommateurs et des réponses apportées",2000,NA,NA,2000,12,NA,
66,Labeling of rDNA Biotechnology-Derived Foods the Institute of Food,2000,NA,NA,2000,9,NA,
67,Europe the spoil-sport: On the Europeans' reluctance towards genetically modified food,2000,NA,NA,2000,NA,NA,
